Code,County,Size (Km^2),Population (NPHC 2009),Capital,Governor,Deputy Governor,Women Representative,Main Economic Activities
1,Mombasa (County),212.5,939370,Mombasa (City),Ali Hassan Joho,William Kingi Kazungu,Asha Hussein Mohamed,"Tourism, fishing, Mining (limestone), Industry & Trade, Crop Production, Livestock keeping and Forest Farming"
2,Kwale,8270.3,649931,Kwale,Salim Mvurya Mgala,Fatuma Mohamed Achani,Zuleikha Ju Ma Hassan,"Agriculture ( crop farming and livestock keeping), Tourism, Fishing, Mining and Trade"
3,Kilifi,12245.9,1109735,Kilifi,Amason Jeffah Kingi,Gideon Edmund Saburi,Gertrude Mbeyu Mwanyanje,"Crop (Production (Maize , Cassava, Cowpeas), Horticulture, Livestock keeping, Apiculture, Tourism, Fishing and  Industry"
4,Tana River,35375.8,240075,Hola,Dhadho Gaddae Godhan,Kea Batuyu Salim,Rehema Hassan,"Pastoralism, Crop Production (Mangoes & Cowpeas), Mining (sand & murram), Indigenous Poultry Keeping and Fishing."
,Lamu,6497.7,101539,Lamu,Fahim Yasin Twaha,Abdulhakim Aboud Bwana,Ruweida Mohamed Obo,"Tourism, Fishing, Mangrove Export, Trade, Handcraft  and Carpentry Industries"
6,Taita–Taveta,17083.9,284657,Mwatate,Granton Graham Samboja,Majala Mlagui Delina,Lydia Haika Mnene Mizighi,"Livestock keeping,  Crop Farming (Maize & Beans), Butterfly Farming,  Silk Farming, Forest Farming, Horticulture, Fishing and  Tourism."
7,Garissa,45720.2,623060,Garissa,Ali Bunow Korane,Abdi Muhumed Agane,Anab Mohamed Gure,"Pastoralism, Tourism, Horticulture (Fruits & Vegetables)"
8,Wajir,55840.6,661941,Wajir,Mohamed Abdi Mahamud,Ahmed Muktar,Fatuma Gedi Ali,"Pastrolism, Agropastrolism, Trade, Irrigation Agriculture (Fruits & Fodder)"
9,Mandera,25797.7,1025756,Mandera,Ali Ibrahim Roba,Arai Mohamed Ahmed,Amina Gedow Hassan,"Nomadic pastoralism (Camels, Goats, Sheep & Cattle), Small Scale Agriculture-(Mangoes, Pawpaw, Onions, Kales and Bananas)"
10,Marsabit,66923.1,291166,Marsabit,Mohsmuf Mohamed Ali,Solomon Gubo Riwe,Safia Sheikh Adan,"Livestock Farming, fishing, Sand Harvesting, Tourism and Trade"
11,Isiolo,25336.1,143294,Isiolo,Mohamed Kuti,Ibrahim Abdi Issa,Rehema Dida Jaldesa,"Tourism, Crop Farming, Nomadic Pastoralism, Apiculture and Sand Harvesting."
12,Meru,6930.1,1356301,Meru,Kiraitu Murungi,Titus Ntuchiu Mutea,Kawira Mwangaza,"Crop Agriculture- (Coffee, Tea, French Beans) and Dairy Farming"
13,Tharaka-Nithi,2409.5,365330,Kathwana,Muthomi Njuki,Francis Nyamu Kagwima,Beatrice Nkatha Nyaga,"Crop Agriculture-  (Coffee, Tea, French Beans) and Dairy Farming"
14,Embu,2555.9,516212,Embu,Martin Nyaga Wambora,David Njeru Kariuki,Jane Wanjuki Njiru,"Crop farming – (Coffee and Tea), Livestock Production, Trade, Fishing, Forestry, Sand Harvesting, Quarrying and Tourism."
15,Kitui,24385.1,1012709,Kitui,Charity Kaluki Ngilu,Gideon Nzau Wathe,Irene Muthoni Kasalu,"Agriculture- (Cotton, Tobacco, Sisal, Cassava, Millet, Pigeon Peas) and Livestock Keeping."
16,Machakos,5952.9,1098584,Machakos,Alfred Mutua Nganga,Francis Maliti Wambua,Joyce Kamene,"Livestock Keeping, Crop Agriculture, Sand Harvesting, Mining, Tourism and Trade."
17,Makueni,8008.9,884527,Wote,Kivutha Kibwana,Adelina Mwau Ndeto,Rose Museo Mumo,"Crop Agriculture (Mangoes, Water Mellon), Bee Keeping and Dairy Farming."
18,Nyandarua,3107.7,596268,Ol Kalou,Francis Thuita Kimemia,Cecilia Wanjiru Mbuthia,Faith Wairimu Gitau,Crop Agriculture including Flower Farming snd  Dairy Farming.
