,Player,Span,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Inns_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Hundreds_Scored,Fifties_Scored,Ducks_Scored,Boundary_Fours,Boundary_Sixes,Country
0,GS Ballance ,2023-2023,1,2,1,155,137,155.0,294,52.72,1,0,0,12,2,ZIM
1,Saud Shakeel ,2023-2023,4,7,2,504,208,100.8,1090,46.23,2,0,0,60,0,PAK
2,YBK Jaiswal ,2023-2023,2,3,0,266,171,88.66,491,54.17,1,0,0,29,3,IND
3,AR Patel ,2023-2023,4,5,2,264,84,88.0,474,55.69,0,0,0,25,9,IND
4,Shakib Al Hasan ,2023-2023,1,1,0,87,87,87.0,94,92.55,0,0,0,14,0,BAN
5,Agha Salman ,2023-2023,4,7,3,325,132,81.25,473,68.71,1,0,0,39,3,PAK
6,Ishan Kishan ,2023-2023,2,3,2,78,52,78.0,91,85.71,0,0,0,8,2,IND
7,AK Markram ,2023-2023,2,4,0,276,115,69.0,427,64.63,1,0,0,45,0,SA
8,MR Marsh ,2023-2023,4,8,2,403,118,67.16,549,73.4,1,0,0,57,9,AUS
9,JE Root ,2023-2023,8,14,2,787,153,65.58,1031,76.33,2,0,0,68,15,ENG
10,FDM Karunaratne ,2023-2023,6,10,0,608,179,60.8,939,64.74,2,0,0,70,0,SL
11,DM de Silva ,2023-2023,6,10,2,486,122,60.75,794,61.2,1,1,1,62,8,SL
12,GD Phillips ,2023-2023,2,4,1,181,87,60.33,208,87.01,0,0,0,19,6,NZ
13,SJ Erwee ,2023-2023,1,2,1,60,42,60.0,180,33.33,0,0,0,8,0,SA
14,BKG Mendis ,2023-2023,6,10,0,586,245,58.6,841,69.67,2,1,1,69,12,SL
15,KS Williamson ,2023-2023,7,13,1,695,215,57.91,1279,54.33,4,1,1,75,3,NZ
16,V Kohli ,2023-2023,7,10,0,557,186,55.7,1080,51.57,2,0,0,53,0,IND
17,UT Khawaja ,2023-2023,12,22,1,1168,195,55.61,2689,43.43,3,2,2,132,5,AUS
18,Najmul Hossain Shanto ,2023-2023,4,8,0,440,146,55.0,607,72.48,3,1,1,54,5,BAN
19,HC Brook ,2023-2023,8,14,1,701,186,53.92,766,91.51,1,1,1,86,11,ENG
20,AD Mathews ,2023-2023,6,10,2,408,115,51.0,787,51.84,2,1,1,41,7,SL
21,Mushfiqur Rahim ,2023-2023,4,8,1,355,126,50.71,526,67.49,1,0,0,38,3,BAN
22,T Bavuma ,2023-2023,3,6,1,252,172,50.4,463,54.42,1,2,2,25,2,SA
23,RG Sharma ,2023-2023,7,11,0,540,120,49.09,909,59.4,2,0,0,59,13,IND
