,Position,Team,Played Matches,Won,Draw,Lost,Goals,Goal Difference,Points
0,1,Liverpool FC,4303,2046,1066,1191,7226:5165,2061,7204
1,2,Arsenal FC,4303,1978,1090,1235,7160:5383,1777,7024
2,3,Everton FC,4687,1894,1173,1620,7217:6502,715,6845
3,4,Manchester United,3947,1897,968,1082,6784:5005,1779,6659
4,5,Aston Villa,4239,1711,998,1530,6844:6311,533,6131
5,6,Manchester City,3789,1572,896,1321,6109:5363,746,5612
6,7,Tottenham Hotspur,3563,1494,853,1216,5662:4965,697,5335
7,8,Chelsea FC,3567,1463,918,1186,5478:4952,526,5307
8,9,Newcastle United,3633,1401,886,1346,5436:5245,191,5089
9,10,Sunderland AFC,3340,1260,780,1300,5143:5121,22,4560
10,11,West Bromwich Albion,3146,1105,776,1265,4644:4996,-352,4091
11,12,Blackburn Rovers,2720,1017,651,1052,4306:4348,-42,3702
12,13,Bolton Wanderers,2802,1017,641,1144,4156:4467,-311,3692
13,14,Wolverhampton Wanderers,2629,1017,596,1016,4254:4220,34,3647
14,15,Sheffield Wednesday,2582,980,612,990,3976:4020,-44,3552
15,16,West Ham United,2641,903,651,1087,3733:4128,-395,3360
16,17,Derby County,2468,906,585,977,3764:3910,-146,3303
17,18,Sheffield United,2449,894,576,979,3602:3907,-305,3258
18,19,Leeds United,2174,880,549,745,3231:2995,236,3189
19,20,Burnley FC,2303,869,525,909,3479:3648,-169,3132
20,21,Middlesbrough FC,2438,818,614,1006,3426:3766,-340,3065
21,22,Nottingham Forest,2233,812,565,856,3124:3269,-145,3001
22,23,Stoke City,2372,778,583,1011,3055:3659,-604,2917
23,24,Leicester City,2242,737,577,928,3313:3727,-414,2788
24,25,Birmingham City,2306,724,583,999,3049:3656,-607,2755
25,26,Preston North End,1720,671,390,659,2701:2569,132,2403
26,27,Southampton FC,1834,594,502,738,2384:2697,-313,2284
27,28,Huddersfield Town,1336,492,334,510,1924:1988,-64,1810
28,29,Portsmouth FC,1356,484,322,550,2021:2208,-187,1765
29,30,Coventry City,1390,430,396,564,1604:1954,-350,1686
30,31,Blackpool FC,1172,415,282,475,1788:1941,-153,1527
31,32,Ipswich Town,1084,402,265,417,1442:1500,-58,1471
32,33,Charlton Athletic,1050,355,253,442,1424:1651,-227,1318
33,34,Fulham FC,1129,331,286,512,1436:1841,-405,1279
34,35,Notts County,1068,341,253,474,1403:1712,-309,1276
35,36,Norwich City,1092,313,317,462,1221:1666,-445,1256
36,37,Queens Park Rangers,936,299,249,388,1143:1310,-167,1146
37,38,Crystal Palace,927,260,253,414,990:1349,-359,1033
38,39,Bury FC,804,279,180,345,1176:1340,-164,1017
39,40,Cardiff City,706,241,167,298,931:1136,-205,890
40,41,Luton Town,674,215,171,288,880:1043,-163,816
41,42,Wimbledon FC,554,186,171,197,702:754,-52,729
42,43,Watford FC,554,166,124,264,696:890,-194,622
43,44,Oldham Athletic,484,159,129,196,604:713,-109,606
44,45,Grimsby Town,488,167,97,224,756:940,-184,598
45,46,Bradford City,468,152,126,190,584:671,-87,582
46,47,Brighton & Hove Albion,413,120,126,167,477:585,-108,486
47,48,Bristol City,358,114,94,150,428:510,-82,436
48,49,Swansea City,350,113,83,154,415:503,-88,422
49,50,Brentford FC,303,109,71,123,460:485,-25,398
50,51,Wigan Athletic,304,85,76,143,316:482,-166,331
51,52,AFC Bournemouth,244,72,53,119,299:431,-132,269
52,53,Hull City,190,41,48,101,181:323,-142,171
53,54,Bradford Park Avenue,122,40,27,55,172:204,-32,147
54,55,Accrington FC,122,35,33,54,226:313,-87,138
55,56,Reading FC,114,32,23,59,136:186,-50,119
56,57,Oxford United,124,27,38,59,150:229,-79,119
57,58,Millwall FC,76,19,22,35,86:117,-31,79
58,59,Northampton Town,42,10,13,19,55:92,-37,43
59,60,Carlisle United,42,12,5,25,43:59,-16,41
60,61,Darwen,56,11,8,37,75:195,-120,41
61,62,Barnsley FC,38,10,5,23,37:82,-45,35
62,63,Swindon Town,42,5,15,22,47:100,-53,30
63,64,Leyton Orient,42,6,9,27,37:81,-44,27
64,65,Glossop North End,34,4,10,20,31:74,-43,22
